CODE	GEO	Year	National_monu	Nature_heri	Intangi_heri	World_heri_sites	Intangi_UNESCO_heri	Museums	Theatres	Libraries	Cult_crea_enterprises	Cult_employ	Ministry_of_cult	Local_cult_author	Regul_framework	interministr_coop	DMO_impact_manag	Cult_manag_plan	Job_creation	Small_enterpr_growth	Assist_and_subs	Tax_status	Cult_exp_capita	Administr_coop	Publi_priva_coop	Publi_NGO_coop	Cult_strat_doc	Cult_particip_prom
1	Ainsa	2007	2	1	0	2	2	512.558	512.558	512.558	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
1	Ainsa	2008	2	1	0	2	2	477.327	477.327	477.327	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
1	Ainsa	2009	2	1	0	2	2	458.926	458.926	458.926	12	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
1	Ainsa	2010	2	1	0	2	2	458.716	458.716	458.716	9	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
1	Ainsa	2011	2	1	0	2	2	448.029	448.029	448.029	9	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
1	Ainsa	2012	2	1	0	2	2	44.603	44.603	44.603	7	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
1	Ainsa	2013	2	1	0	2	2	444.444	444.444	444.444	12	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
1	Ainsa	2014	2	1	0	2	2	451.875	451.875	451.875	8	N/A	1	1	1	0	0	1	1	1	1	1	61.97	1	1	1	0	1
1	Ainsa	2015	2	1	2	2	2	45.045	45.045	45.045	16	N/A	1	1	1	0	0	1	1	1	1	1	70.63	1	1	1	0	1
1	Ainsa	2016	2	1	2	2	2	460.193	460.193	460.193	24	N/A	1	1	1	0	0	1	1	1	1	1	109.30	1	1	1	0	1
1	Ainsa	2017	2	1	2	2	2	469.925	469.925	469.925	22	N/A	1	1	1	0	0	1	1	1	1	1	86.23	1	1	1	0	1
1	Ainsa	2018	2	1	2	2	2	4.649	4.649	4.649	23	N/A	1	1	1	0	0	1	1	1	1	1	113.20	1	1	1	0	1
1	Ainsa	2019	2	1	2	2	2	454.339	454.339	454.339	N/A	N/A	1	1	1	0	0	1	1	1	1	1	99.73	1	1	1	0	1
2	Barbastro	2007	1	0	58	0	3	62.402	62.402	62.402	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
2	Barbastro	2008	1	0	58	0	3	60.658	60.658	60.658	N/A	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
2	Barbastro	2009	1	0	58	0	3	59.088	59.088	59.088	53	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
2	Barbastro	2010	1	0	58	0	3	58.548	58.548	58.548	51	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
2	Barbastro	2011	1	0	58	0	3	58.531	58.531	58.531	57	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
2	Barbastro	2012	1	0	58	0	3	5.779	5.779	5.779	49	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	0	1
2	Barbastro	2013	1	0	58	0	3	58.106	58.106	58.106	62	N/A	1	1	1	0	0	1	1	1	1	1	0.00	1	1	1	1	1
2	Barbastro	2014	1	0	58	0	3	58.449	58.449	58.449	52	N/A	1	1	1	0	0	1	1	1	1	1	55.10	1	1	1	1	1
2	Barbastro	2015	1	0	58	0	3	58.754	58.754	58.754	69	N/A	1	1	1	0	0	1	1	1	1	1	38.66	1	1	1	1	1
2	Barbastro	2016	1	0	58	0	3	58.959	58.959	58.959	78	N/A	1	1	1	0	0	1	1	1	1	1	54.72	1	1	1	1	1
